track_name,artist,genre,track_uri,track_link,track_preview,album
Hotel California - 2013 Remaster,Eagles,Rock,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,https://p.scdn.co/mp3-preview/6fedc11d0f55bef176cc1c5725ac1c57f9a2534a?cid=334acd00a2d445cb9077c0c4cf57f5a9,Hotel California (2013 Remaster)
"Paint It, Black",The Rolling Stones,Rock,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,https://open.spotify.com/track/63T7DJ1AFDD6Bn8VzG6JE8,,Aftermath
Fortunate Son,Creedence Clearwater Revival,Rock,spotify:track:5e6x5YRnMJIKvYpZxLqdpH,https://open.spotify.com/track/5e6x5YRnMJIKvYpZxLqdpH,,The Long Road Home - The Ultimate John Fogerty / Creedence Collection
Sweet Child O' Mine,Guns N' Roses,Rock,spotify:track:7snQQk1zcKl8gZ92AnueZW,https://open.spotify.com/track/7snQQk1zcKl8gZ92AnueZW,,Appetite For Destruction
Enter Sandman,Metallica,Rock,spotify:track:5BIMPccDwShpXq784RJlJp,https://open.spotify.com/track/5BIMPccDwShpXq784RJlJp,,Metallica
Seven Nation Army,The White Stripes,Rock,spotify:track:3dPQuX8Gs42Y7b454ybpMR,https://open.spotify.com/track/3dPQuX8Gs42Y7b454ybpMR,https://p.scdn.co/mp3-preview/eca519f0a85862d9510d57d59df557081d375e3a?cid=334acd00a2d445cb9077c0c4cf57f5a9,Elephant
Smells Like Teen Spirit,Nirvana,Rock,spotify:track:5ghIJDpPoe3CfHMGu71E6T,https://open.spotify.com/track/5ghIJDpPoe3CfHMGu71E6T,,Nevermind (Remastered)
Thunderstruck,AC/DC,Rock,spotify:track:57bgtoPSgt236HzfBOd8kj,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj,https://p.scdn.co/mp3-preview/788a028fa3a33141c817b1064e3159006edeaa8d?cid=334acd00a2d445cb9077c0c4cf57f5a9,The Razors Edge
Dream On,Aerosmith,Rock,spotify:track:5MxNLUsfh7uzROypsoO5qe,https://open.spotify.com/track/5MxNLUsfh7uzROypsoO5qe,,Aerosmith
La Grange - 2005 Remaster,ZZ Top,Rock,spotify:track:70YvYr2hGlS01bKRIho1HM,https://open.spotify.com/track/70YvYr2hGlS01bKRIho1HM,https://p.scdn.co/mp3-preview/1de566ed732e7c2762c9c4432eb1ac3f6fa41d39?cid=334acd00a2d445cb9077c0c4cf57f5a9,Tres Hombres (Expanded 2006 Remaster)
Everlong,Foo Fighters,Rock,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,https://open.spotify.com/track/5UWwZ5lm5PKu6eKsHAGxOk,https://p.scdn.co/mp3-preview/78fd3872e0fa5940b2a36654f07f11e7119be4e2?cid=334acd00a2d445cb9077c0c4cf57f5a9,The Colour And The Shape
